time,Open,High,Low,Close,Volume,spread,real_volume
2025-04-25 17:15:00,3287.798,3291.363,3286.489,3287.081,3224,159,0
2025-04-25 17:30:00,3287.042,3294.761,3286.161,3292.001,2673,159,0
2025-04-25 17:45:00,3292.053,3295.168,3289.785,3293.341,2750,159,0
2025-04-25 18:00:00,3293.291,3297.008,3291.479,3293.727,2248,159,0
2025-04-25 18:15:00,3293.683,3294.817,3292.109,3293.352,1697,159,0
2025-04-25 18:30:00,3293.323,3294.506,3290.553,3291.404,1591,160,0
2025-04-25 18:45:00,3291.318,3292.174,3288.397,3288.397,1661,159,0
2025-04-25 19:00:00,3288.455,3290.223,3287.8,3289.689,1655,159,0
2025-04-25 19:15:00,3289.728,3295.286,3289.707,3294.704,1783,159,0
2025-04-25 19:30:00,3294.699,3308.757,3294.699,3308.489,2869,159,0
2025-04-25 19:45:00,3308.513,3312.406,3304.178,3304.818,3644,159,0
2025-04-25 20:00:00,3304.856,3306.912,3304.569,3305.429,1871,160,0
2025-04-25 20:15:00,3305.441,3311.392,3305.302,3308.66,1804,159,0
2025-04-25 20:30:00,3308.657,3314.466,3307.118,3314.466,1755,159,0
2025-04-25 20:45:00,3314.426,3319.24,3313.538,3318.798,2061,159,0
2025-04-27 22:00:00,3325.64,3330.215,3320.909,3326.729,2260,160,0
2025-04-27 22:15:00,3326.69,3327.324,3316.3,3317.498,3572,159,0
2025-04-27 22:30:00,3317.522,3317.545,3309.114,3309.3,3362,159,0
2025-04-27 22:45:00,3309.271,3314.628,3309.271,3310.701,1986,159,0
2025-04-27 23:00:00,3310.708,3318.14,3308.267,3308.833,3468,160,0
2025-04-27 23:15:00,3308.828,3311.486,3300.242,3308.092,4407,159,0
2025-04-27 23:30:00,3308.065,3308.813,3305.063,3306.161,2688,159,0
2025-04-27 23:45:00,3306.154,3306.591,3298.606,3302.739,3968,159,0
2025-04-28 00:00:00,3302.791,3313.813,3301.594,3307.23,5296,159,0
2025-04-28 00:15:00,3307.243,3311.535,3305.537,3311.174,3466,159,0
2025-04-28 00:30:00,3311.211,3313.419,3307.621,3308.719,2951,160,0
2025-04-28 00:45:00,3308.647,3315.965,3308.647,3314.158,4053,159,0
2025-04-28 01:00:00,3314.14,3315.257,3305.535,3307.145,6791,159,0
2025-04-28 01:15:00,3307.17,3308.032,3290.096,3291.104,7494,159,0
2025-04-28 01:30:00,3291.041,3291.094,3279.148,3285.943,9489,159,0
2025-04-28 01:45:00,3285.988,3291.367,3279.518,3280.9,5815,159,0
2025-04-28 02:00:00,3280.937,3283.382,3268.077,3271.184,8265,159,0
2025-04-28 02:15:00,3271.278,3276.403,3268.954,3274.648,3908,159,0
2025-04-28 02:30:00,3274.691,3283.334,3272.19,3280.144,5573,159,0
2025-04-28 02:45:00,3280.255,3286.376,3279.72,3280.839,3444,159,0
2025-04-28 03:00:00,3280.785,3286.093,3280.3,3283.139,3037,159,0
2025-04-28 03:15:00,3283.197,3295.194,3282.516,3292.789,3594,160,0
2025-04-28 03:30:00,3292.762,3294.277,3289.792,3293.437,2266,159,0
2025-04-28 03:45:00,3293.394,3294.428,3290.328,3290.902,2160,159,0
2025-04-28 04:00:00,3290.894,3293.374,3289.155,3290.409,2039,159,0
2025-04-28 04:15:00,3290.403,3294.236,3288.658,3293.786,1793,159,0
2025-04-28 04:30:00,3293.852,3294.325,3291.383,3291.796,1511,159,0
2025-04-28 04:45:00,3291.809,3299.078,3289.826,3298.901,2730,160,0
2025-04-28 05:00:00,3298.913,3299.818,3295.98,3296.645,1700,159,0
2025-04-28 05:15:00,3296.662,3298.982,3294.932,3297.471,1677,159,0
2025-04-28 05:30:00,3297.498,3301.054,3287.817,3288.277,4329,159,0
2025-04-28 05:45:00,3288.187,3296.064,3287.848,3295.08,2790,159,0
2025-04-28 06:00:00,3295.089,3296.49,3292.077,3292.333,3085,160,0
2025-04-28 06:15:00,3292.428,3295.313,3288.27,3292.7,3621,159,0
2025-04-28 06:30:00,3292.683,3292.769,3284.313,3287.172,3238,160,0
2025-04-28 06:45:00,3287.137,3288.909,3281.838,3283.399,3503,159,0
2025-04-28 07:00:00,3283.427,3288.292,3277.689,3286.012,4846,159,0
2025-04-28 07:15:00,3286.013,3286.444,3278.567,3279.955,3094,159,0
2025-04-28 07:30:00,3279.915,3291.727,3278.983,3289.765,3828,159,0
2025-04-28 07:45:00,3289.866,3292.543,3286.88,3287.452,2642,159,0
2025-04-28 08:00:00,3287.401,3288.527,3283.785,3284.344,2692,159,0
2025-04-28 08:15:00,3284.336,3287.205,3283.842,3284.3,1628,159,0
2025-04-28 08:30:00,3284.315,3284.868,3281.55,3282.7,2121,159,0
2025-04-28 08:45:00,3282.646,3283.159,3279.222,3282.622,1954,160,0
2025-04-28 09:00:00,3282.662,3287.412,3282.477,3284.017,2138,160,0
2025-04-28 09:15:00,3283.952,3284.035,3277.882,3278.327,2524,159,0
2025-04-28 09:30:00,3278.371,3281.635,3276.468,3279.887,2714,159,0
2025-04-28 09:45:00,3279.843,3279.978,3274.444,3274.507,2104,159,0
2025-04-28 10:00:00,3274.54,3280.741,3273.284,3278.715,3686,159,0
2025-04-28 10:15:00,3278.705,3283.851,3278.705,3283.851,1872,159,0
2025-04-28 10:30:00,3283.805,3289.937,3283.454,3289.215,2352,159,0
2025-04-28 10:45:00,3289.284,3291.904,3287.579,3289.553,2519,159,0
2025-04-28 11:00:00,3289.573,3294.421,3287.034,3287.768,2609,159,0
2025-04-28 11:15:00,3287.785,3291.106,3284.888,3290.222,2646,159,0
2025-04-28 11:30:00,3290.155,3293.998,3288.455,3293.064,2685,160,0
2025-04-28 11:45:00,3293.066,3297.183,3291.54,3294.176,2628,160,0
2025-04-28 12:00:00,3294.297,3298.031,3294.297,3295.628,2813,159,0
2025-04-28 12:15:00,3295.686,3302.195,3292.705,3302.061,3899,159,0
2025-04-28 12:30:00,3302.019,3302.284,3295.752,3298.292,3102,159,0
2025-04-28 12:45:00,3298.269,3299.897,3294.86,3295.977,2874,159,0
2025-04-28 13:00:00,3296.043,3296.874,3290.492,3295.455,4525,159,0
2025-04-28 13:15:00,3295.458,3300.995,3295.197,3300.09,3602,159,0
2025-04-28 13:30:00,3300.071,3301.256,3289.991,3291.653,6163,159,0
2025-04-28 13:45:00,3291.594,3293.535,3286.823,3293.159,6682,159,0
2025-04-28 14:00:00,3293.177,3300.524,3293.125,3298.951,5110,159,0
2025-04-28 14:15:00,3298.988,3315.813,3298.988,3311.264,6646,159,0
2025-04-28 14:30:00,3311.311,3330.639,3310.746,3329.996,8137,159,0
2025-04-28 14:45:00,3329.953,3333.189,3327.257,3328.573,6606,159,0
2025-04-28 15:00:00,3328.568,3329.938,3323.538,3329.818,4401,160,0
2025-04-28 15:15:00,3329.775,3336.044,3327.705,3328.563,4776,159,0
2025-04-28 15:30:00,3328.604,3329.134,3319.096,3324.061,4806,159,0
2025-04-28 15:45:00,3324.105,3327.425,3321.676,3325.005,4454,159,0
2025-04-28 16:00:00,3325.05,3337.926,3324.496,3334.926,4131,159,0
2025-04-28 16:15:00,3334.93,3337.908,3332.016,3334.352,3827,159,0
2025-04-28 16:30:00,3334.331,3339.253,3331.36,3338.031,2885,159,0
2025-04-28 16:45:00,3338.042,3338.157,3332.579,3336.556,2438,159,0
2025-04-28 17:00:00,3336.581,3338.987,3336.531,3337.094,2330,159,0
2025-04-28 17:15:00,3337.09,3338.375,3333.221,3336.942,3121,159,0
2025-04-28 17:30:00,3336.912,3340.193,3336.883,3337.45,2341,159,0
2025-04-28 17:45:00,3337.429,3338.932,3334.499,3335.299,1914,160,0
2025-04-28 18:00:00,3335.273,3339.457,3333.902,3338.096,1745,160,0
2025-04-28 18:15:00,3338.062,3349.847,3337.304,3348.189,3374,160,0
2025-04-28 18:30:00,3348.226,3349.616,3346.055,3347.292,2681,160,0
2025-04-28 18:45:00,3347.257,3349.768,3346.627,3349.015,2088,159,0
2025-04-28 19:00:00,3349.05,3352.052,3348.146,3349.454,2108,159,0
2025-04-28 19:15:00,3349.554,3350.627,3345.585,3349.888,2195,159,0
2025-04-28 19:30:00,3349.914,3351.569,3346.493,3349.884,2038,159,0
2025-04-28 19:45:00,3349.892,3352.993,3349.408,3352.076,1842,159,0
2025-04-28 20:00:00,3352.107,3352.376,3349.55,3350.284,1250,159,0
2025-04-28 20:15:00,3350.279,3350.283,3347.59,3349.51,985,160,0
2025-04-28 20:30:00,3349.528,3350.705,3345.113,3345.761,1211,159,0
2025-04-28 20:45:00,3345.74,3346.933,3342.333,3344.162,1418,159,0
2025-04-28 22:00:00,3345.965,3348.677,3337.576,3339.325,2419,159,0
2025-04-28 22:15:00,3339.307,3339.32,3332.321,3335.181,3715,159,0
2025-04-28 22:30:00,3335.228,3339.976,3335.228,3337.086,2052,159,0
2025-04-28 22:45:00,3337.085,3339.285,3334.316,3338.11,1584,160,0
2025-04-28 23:00:00,3338.076,3342.929,3334.621,3337.082,3876,159,0
2025-04-28 23:15:00,3337.126,3338.697,3336.713,3338.022,1305,159,0
2025-04-28 23:30:00,3338.086,3339.057,3333.82,3337.475,2626,159,0
2025-04-28 23:45:00,3337.505,3340.338,3337.181,3337.682,1661,160,0
2025-04-29 00:00:00,3337.643,3338.128,3333.28,3337.628,2698,159,0
2025-04-29 00:15:00,3337.589,3339.062,3330.652,3331.875,3247,160,0
2025-04-29 00:30:00,3331.866,3335.065,3331.369,3332.895,2271,159,0
2025-04-29 00:45:00,3332.868,3333.844,3327.72,3329.958,3271,159,0
2025-04-29 01:00:00,3329.993,3333.385,3323.861,3328.741,5683,159,0
2025-04-29 01:15:00,3328.802,3333.378,3327.482,3331.175,3413,159,0
2025-04-29 01:30:00,3331.143,3340.035,3327.44,3330.089,5791,159,0
2025-04-29 01:45:00,3330.002,3331.323,3322.768,3326.465,3864,159,0
2025-04-29 02:00:00,3326.441,3332.297,3325.145,3331.336,3471,160,0
2025-04-29 02:15:00,3331.341,3333.824,3325.925,3329.621,3658,159,0
2025-04-29 02:30:00,3329.696,3332.767,3327.918,3330.419,2787,159,0
2025-04-29 02:45:00,3330.448,3330.736,3319.325,3320.583,3671,160,0
2025-04-29 03:00:00,3320.614,3321.636,3313.122,3313.646,5471,159,0
2025-04-29 03:15:00,3313.625,3317.92,3308.887,3312.599,4342,159,0
